Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,FanDuelSalary,FantasyPointsFanDuel
239,Devin Funchess,CAR,WR,15,NO,17,32,5000,5.16
240,Rashard Higgins,CLE,WR,15,DEN,20,13,4800,5.09
241,Zach Pascal,IND,WR,15,DAL,4,3,4900,5.01
245,Tajae Sharpe,TEN,WR,15,NYG,20,9,4800,4.92
247,Kendrick Bourne,SF,WR,15,SEA,11,22,4900,4.84
249,Marquez Valdes-Scantling,GB,WR,15,CHI,1,13,4700,4.81
252,Chris Hogan,NE,WR,15,PIT,13,12,4700,4.66
253,Cordarrelle Patterson,NE,WR,15,PIT,13,12,5000,4.6
254,Keelan Cole,JAX,WR,15,WAS,16,25,4800,4.59
255,JJ Nelson,ARI,WR,15,ATL,28,26,4900,4.58
256,Corey Coleman,NYG,WR,15,TEN,7,23,4700,4.52
260,Jaron Brown,SEA,WR,15,SF,25,28,4800,4.44
261,Bennie Fowler,NYG,WR,15,TEN,7,23,4600,4.43
262,Equanimeous St. Brown,GB,WR,15,CHI,1,13,4500,4.4
264,Laquon Treadwell,MIN,WR,15,MIA,27,17,4600,4.33
265,Cody Core,CIN,WR,15,OAK,29,19,4700,4.31
268,Travis Benjamin,LAC,WR,15,KC,30,11,4600,4.26
268,Dontrelle Inman,IND,WR,15,DAL,4,3,4600,4.26
268,Cole Beasley,DAL,WR,15,IND,10,6,4800,4.26
277,Deandre Carter,HOU,WR,15,NYJ,21,25,4500,4.09
278,Keith Kirkwood,NO,WR,15,CAR,25,27,4900,4.04
279,Jarius Wright,CAR,WR,15,NO,17,32,4700,4
282,Aldrick Robinson,MIN,WR,15,MIA,27,17,4600,3.79
285,Breshad Perriman,CLE,WR,15,DEN,20,13,4700,3.68
289,Ryan Switzer,PIT,WR,15,NE,21,11,4800,3.52
291,James Washington,PIT,WR,15,NE,21,11,4600,3.44
292,Chester Rogers,IND,WR,15,DAL,4,3,4600,3.22
294,Kelvin Benjamin,KC,WR,15,LAC,8,7,4700,3.16
296,Deonte Thompson,BUF,WR,15,DET,17,20,4600,3.1
298,Andy Jones,DET,WR,15,BUF,3,2,4500,3.03
